"geneSymbol","disease_merge"
"ACE","Glycogen Storage Disease"
"ACE","Pneumonia"
"ACE","Infant, Premature, Diseases"
"ACTA2","Aortic Aneurysm"
"ACTA2","Multisystemic Smooth Muscle Dysfunction Syndrome"
"ACTA2","Colitis"
"ACTA2","Liver Cirrhosis"
"ACTA2","Ehlers-Danlos Syndrome"
"ACTA2","Cholangitis"
"ACTA2","Liver Fibrosis"
"ACTA2","Nephrogenic Fibrosing Dermopathy"
"ACTA2","Moyamoya disease"
"ACTA2","Marfan Syndrome"
"ACTA2","Breast Cancer"
"ACTA2","Myocardial Infarction"
"ACTA2","Endometriosis"
"ACTA2","Leukemia"
"ACTA2","Glomerulosclerosis"
"ACTA2","Chronic hepatitis"
"ACTA2","Glomerular Hyalinosis"
"ACTA2","Colonic Neoplasms"
"ACTA2","Cholestasis"
"ACTA2","Scleroderma"
"ACTA2","Crohn Disease"
"ACTA2","Endometrioma"
"ACTA2","Psoriasis"
"ACTA2","Liver Diseases"
"ACTA2","Spondylitis"
"ACTB","Arthritis"
"ACTB","Osteoarthrosis Deformans"
"ACTB","Dystonia"
"ACTB","Bipolar Disorder"
"ACTB","Baraitser-Winter syndrome"
"ACTB","Genetic Diseases"
"ACTB","Esophagus Neoplasm"
"ACTB","Hearing Loss"
"ACTB","Intellectual Disability"
"ACTB","Lung Cancer"
"ACTB","Liver Cancer"
"ACTB","Anaplastic Carcinoma"
"ACTB","Dysostoses"
"ACTB","Anencephaly"
"ACTB","Congenital ocular coloboma"
"ACTB","Myocardial Ischemia"
"ACTB","Drachtman Weinblatt Sitarz syndrome"
"ACTB","Schizophrenia"
"ACTB","Carcinoma"
"ACTG1","Drachtman Weinblatt Sitarz syndrome"
"ACTG1","Osteoporosis"
"ACTG1","Hearing Loss"
"ACTG1","Anencephaly"
"ACTG1","Carcinoma"
"ACTG1","Congenital ocular coloboma"
"ACTG1","Baraitser-Winter Syndrome"
"ACTG1","Anaplastic Carcinoma"
"ACTG1","Acute Coronary Syndrome"
"ACTG2","CAKUT"
"ACTG2","Megaduodenum and-or Megacystis"
"ACTG2","Genetic Diseases"
"ACTG2","Visceral Myopathy"
"ACTG2","Berdon syndrome"
"ACTG2","Neuropathy"
"ACTG2","Intestinal Pseudoobstruction"
"ACTG2","Colonic Neoplasms"
"ACVR1","Fibrodysplasia Ossificans Progressiva"
"ACVR1","Grade I Astrocytoma"
"ACVR1","Glioma"
"ACVR1","Genetic Diseases"
"ACVR1","Astrocytoma"
"ACVR1","Cerebral Astrocytoma"
"ACVR1","Intracranial Astrocytoma"
"ACVR1","Gastric Cancer"
"ACVR1","Breast Cancer"
"ACVR1","Childhood Cerebral Astrocytoma"
"ACVR1","Brain Stem Glioma"
"ACVR1","Oligoastrocytoma"
"ADA","Autistic Disorder"
"ADA","SCID"
"ADA","ADA Deficiency"
"ADA","Pancreatic Ductal Adenocarcinoma"
"ADA","Lung Cancer"
"ADA","Hyperemia"
"ADA","Spinal Cord Diseases"
"ADAM12","Attention Deficit Disorder"
"ADAM12","Skin Cancer"
"ADAM12","Schizophrenia"
"ADAMTS1","Lung Cancer"
"ADAMTS1","Breast Cancer"
"ADAMTS1","Liver Cancer"
"ADIPOQ","Myocardial Ischemia"
"ADIPOQ","Metabolic Syndrome X"
"ADIPOQ","Heart Failure"
"ADIPOQ","Myocardial Failure"
"ADIPOQ","Atherosclerosis"
"ADIPOQ","Obesity"
"ADIPOQ","Liver Diseases"
"ADIPOQ","Non-alcoholic Fatty Liver Disease"
"ADIPOQ","Pulmonary Fibrosis"
"ADIPOQ","Hypoadiponectinemia"
"ADIPOQ","Rheumatoid Arthritis"
"ADIPOQ","Pulmonary Edema"
"ADIPOQ","Coronary Restenosis"
"ADIPOQ","Crohn Disease"
"ADIPOQ","Glomerulosclerosis"
"ADIPOQ","Kidney Failure"
"ADIPOQ","Diabetes Mellitus "
"ADIPOQ","Diabetic Nephropathy"
"ADIPOQ","Hepatitis"
"ADIPOQ","Hyperemia"
"ADIPOQ","Enteritis"
"ADIPOQ","Hypertensive disease"
"ADIPOQ","Adiponectin Deficiency"
"ADIPOQ","Colitis"
"ADIPOR1","Kidney Failure"
"ADIPOR1","Subfertility, Female"
"ADIPOR2","Subfertility, Female"
"ADM","Glomerulonephritis"
"ADM","Autistic Disorder"
"ADM","Schizophrenia"
"ADM","Bipolar Disorder"
"ADM","Nephritis"
"ADM","Gastric ulcer"
"ADRB2","Stomach Cancer"
"ADRB2","Autistic Disorder"
"ADRB2","HIV Encephalopathy"
"ADRB2","Myocardial Ischemia"
"ADRB2","Prostate cancer"
"ADRB2","Obesity"
"ADRB2","Gastric Cancer"
"ADRB2","Myocardial Diseases"
"ADRB2","AIDS Dementia Complex"
"ADRB2","Hyperlipidemia"
"ADRB2","Cardiomyopathy"
"ADRB2","HIV Infections"
"ADRB2","Viral Encephalitis"
"ADRB2","HIV Coinfection"
"ADRB2","Bipolar Disorder"
"ADRB3","Obesity"
"ADRB3","Heart Failure"
"ADRB3","Mental Depression"
"ADRB3","Myocardial Failure"
"ADRB3","Hyperlipidemia"
"ADRB3","Schizophrenia"
"ADRB3","Left Ventricular Hypertrophy"
"AGER","Neuralgia"
"AGER","Scleroderma"
"AGER","Diabetes Mellitus "
"AGER","Rheumatoid Arthritis"
"AGER","Atherosclerosis"
"AGER","Schizophrenia"
"AGER","Lewy Body Disease"
"AGER","Diabetic Cardiomyopathies"
"AGER","Hyperglycemia"
"AGER","Osteoarthrosis Deformans"
"AGER","Arthritis"
"AGER","Pancreatic Diseases"
"AGER","Chronic Obstructive Pulmonary Disease"
"AGT","Glomerulonephritis"
"AGT","Hypertensive disease"
"AGT","Pneumonia"
"AGT","Catalepsy"
"AGT","Atonic seizures"
"AGT","Myocardial Failure"
"AGT","Heart Failure"
"AGT","Mental Depression"
"AGT","Aortic Aneurysm"
"AGT","Cardiomyopathy"
"AGT","Cardiovascular Abnormalities"
"AGT","Left Ventricular Hypertrophy"
"AGT","Carotid Atherosclerosis"
"AGT","Carotid Artery Diseases"
"AGT","Diabetic Retinopathy"
"AGT","Nephritis"
"AGT","Liver Fibrosis"
"AGT","Allanson Pantzar McLeod syndrome"
"AGT","Atherosclerosis"
"AGT","Bipolar Disorder"
"AGT","Seizures"
"AGT","Myocardial Infarction"
"AGT","Pulmonary Fibrosis"
"AGT","Moyamoya disease"
"AGT","Cognition Disorders"
"AGT","Renal Tubular Dysgenesis With Choanal Atresia And Athelia"
"AGT","Retinopathy of Prematurity"
"AGT","Malignant Hypertension"
"AGT","Arteriosclerosis"
"AGT","Kidney Insufficiency"
"AGT","Myocardial Diseases"
"AGT","Glomerulosclerosis"
"AGT","Anemia"
"AGT","Nephrosis"
"AGT","Myocardial Ischemia"
"AGT","Glomerular Hyalinosis"
"AGT","Liver Cirrhosis"
"AGT","Kidney Failure"
"AGT","Cholestasis"
"AGT","Renal hypertension"
"AGT","Hyperemia"
"AGT","Diabetic Nephropathy"
"AGT","Heart Diseases"
"AGT","Jacksonian Seizure"
"AKR1C2","Male Pseudohermaphroditism"
"AKR1C2","Intersex Conditions"
"AKR1C2","Ambiguous Genitalia"
"AKR1C2","Disorders of Sex Development"
"AKR1C2","Ovarian Cancer"
"AKR1C2","Arthritis"
"AKR1C2","Sex Differentiation Disorders"
"AKR1C2","Hermaphroditism"
"AKR1C2","Osteoarthrosis Deformans"
"AKR1C2","Endometriosis"
"AKR1C2","Endometrioma"
"AKR1C2","Dermatitis"
"AKR1C2","Liver Cancer"
"AKR1C2","Pseudohermaphroditism"
"AKR1C3","Prostate cancer"
"AKR1C3","Ovarian Cancer"
"AKR1C3","Disorders of Sex Development"
"AKR1C3","Stomach Cancer"
"AKR1C3","Hermaphroditism"
"AKR1C3","Endometrial Cancer"
"AKR1C3","Bipolar Disorder"
"AKR1C3","Pseudohermaphroditism"
"AKR1C3","Endometriosis"
"AKR1C3","Endometrioma"
"AKR1C3","Gastric Cancer"
"AKR1C3","Ambiguous Genitalia"
"AKR1C3","Intersex Conditions"
"AKR1C3","Obesity"
"AKR1C3","Sex Differentiation Disorders"
"AKT1","Schizophrenia"
"AKT1","Breast Cancer"
"AKT1","Meningioma"
"AKT1","Endometrial Cancer"
"AKT1","Bipolar Disorder"
"AKT1","Bladder Cancer"
"AKT1","Lung Cancer"
"AKT1","Colorectal Cancer"
"AKT1","Skin Cancer"
"AKT1","Ovarian Cancer"
"AKT1","Prostate cancer"
"AKT1","Breast Cancer,Male"
"AKT1","Proteus Syndrome"
"AKT1","Liver Cancer"
"AKT1","Cardiomyopathy"
"AKT1","Osteosarcoma"
"AKT1","Intellectual Disability"
"AKT1","Mental Depression"
"AKT1","Hamartoma"
"AKT1","Lymphoma"
"AKT1","Epilepsy"
"AKT1","Colonic Neoplasms"
"AKT1","Intestinal Polyposis"
"AKT1","Mood Disorders"
"AKT1","Thyroid Cancer"
"AKT1","Carcinoma"
"AKT1","Myocardial Diseases"
"AKT1","Aortic valve calcification"
"AKT1","Ctaneous Melanoma"
"AKT1","Obesity"
"AKT1","Adenocarcinoma of Prostate"
"AKT1","Leukemia"
"AKT1","Head Neoplasms"
"AKT1","Gastric Cancer"
"AKT2","Breast Cancer"
"AKT2","Lung Cancer"
"AKT2","Diabetes Mellitus "
"AKT2","Lipodystrophy"
"AKT2","Bipolar Disorder"
"AKT2","Colorectal Cancer"
"AKT2","Hypoinsulinemic Hypoglycemia With Hemihypertrophy"
"AKT2","Nasopharyngeal Cancer"
"AKT3","Central Nervous System Neoplasms"
"AKT3","Hydrocephalus"
"AKT3","Cortical Dysplasia"
"AKT3","Megalencephaly-Capillary Malformation (MCAP) Syndrome"
"AKT3","Genetic Diseases"
"AKT3","Megalencephaly-Polymicrogyria-Polydactyly-Hydrocephalus"
"AKT3","Polymicrogyria"
"AKT3","Schizophrenia"
"AKT3","Intellectual Disability"
"AKT3","Malformations of Cortical Development"
"AKT3","Megalancephaly Polymicrogyria-Polydactyly Hydrocephalus Syndrome"
"AKT3","Glioma"
"ALDH1A3","Microphthalmia"
"ALDH1A3","Intellectual Disability"
"ALDH1A3","Congenital ocular coloboma"
"ALDH1A3","Stomach Cancer"
"ALDH1A3","Gastric Cancer"
"ALDH3A2","Sjogren-Larsson Syndrome"
"ALOX15","Esophagus Neoplasm"
"ALOX15","Hypertensive disease"
"ALOX15","Atherosclerosis"
"AMH","Persistent Mullerian Duct Syndrome"
"AMH","Female Urogenital Diseases"
"AMHR2","Female Urogenital Diseases"
"AMHR2","Persistent Mullerian Duct Syndrome"
"ANGPTL4","Breast Cancer"
"ANGPTL4","Arteriosclerosis"
"ANGPTL4","Ischemic Cardiomyopathy"
"ANGPTL4","Carcinoma"
"ANGPTL4","Cancer Metastasis"
"ANGPTL4","Obesity"
"ANGPTL4","Fatty Liver"
"ANGPTL4","Myocardial Infarction"
"ANGPTL4","Dyslipidemias"
"ANGPTL4","Anaplastic Carcinoma"
"ANXA2","Liver Diseases"
"ANXA2","Osteoporosis"
"ANXA2","Lung Cancer"
"ANXA2","Liver Cancer"
"ANXA2","Carcinoma"
"ANXA2","Mouth Neoplasms"
"ANXA2","Leukemia"
"ANXA2","Hepatitis"
"ANXA2","Myeloid Leukemia"
"ANXA5","Chronic Obstructive Pulmonary Disease"
"ANXA5","Wilson Disease"
"ANXA5","Stomach Cancer"
"ANXA5","Leukemia"
"ANXA5","Lung Cancer"
"ANXA5","Gastric Cancer"
"ANXA5","Mouth Neoplasms"
"ANXA5","Myeloid Leukemia"
"ANXA5","Carcinoma"
"APC","Heriditary Neoplastic Syndrome"
"APC","Adenoma"
"APC","Intestinal Polyposis"
"APC","Gardner Syndrome"
"APC","Colorectal Cancer"
"APC","Lung Cancer"
"APC","Colonic Neoplasms"
"APC","Prostate cancer"
"APC","Inflammatory Bowel Diseases"
"APC","Intellectual Disability"
"APC","Glioblastoma Multiforme"
"APC","Liver Cancer"
"APC","Intestinal Cancer"
"APC","Adenocarcinoma"
"APC","Gastric Polyposis"
"APC","Leukocytosis"
"APC","Rectal Neoplasms"
"APC","Desmoid Disease"
"APC","Medulloblastoma"
"APC","Hepatoblastoma"
"APC","Autistic Disorder"
"APC","Hyperlipidemia"
"APC","Pleocytosis"
"APC","Mesothelioma"
"APC","Glioblastoma"
"APC","Respiratory Distress Syndrome"
"APC","Gastrointestinal Cancer"
"APC","Carcinoma"
"APC","Brain Tumor Polyposis"
"APC","Eye Abnormalities"
"APC","Cribriform Carcinoma"
"APC","Stomach Cancer"
"APC","Fibromatosis"
"APC","Schizophrenia"
"APC","Turcot syndrome"
"APC","Anemia"
"APOA1","Stomach Cancer"
"APOA1","Obesity"
"APOA1","Adenocarcinoma"
"APOA1","Amyloidosis"
"APOA1","Lung Cancer"
"APOA1","Arteriosclerosis"
"APOA1","Glomerulonephritis"
"APOA1","Tangier Disease"
"APOA1","Carcinoma"
"APOA1","Hepatitis"
"APOA1","Amyloid Polyneuropathy"
"APOA1","Gastric Cancer"
"APOA1","Liver Diseases"
"APOA1","Liver Cancer"
"APOA1","HIV Coinfection"
"APOA1","Behcet Syndrome"
"APOA1","Hypertensive disease"
"APOA1","Stroke"
"APOA1","Ataxia with vitamin E deficiency"
"APOA1","HIV Infections"
"APOA1","Lipid Metabolism Disorders"
"APOA1","Cribriform Carcinoma"
"APOA1","Diabetic Cardiomyopathies"
"APOA4","Hyperlipoproteinemia"
"APOA4","Atherosclerosis"
"APOA4","Hypercholesterolemia"
"APOA4","Schizophrenia"
"APOB","Fatty Liver"
"APOB","Hypobetalipoproteinemias"
"APOB","Coronary heart disease"
"APOB","Hypercholesterolemia"
"APOB","Metabolic Syndrome X"
"APOB","Dyslipidemias"
"APOB","Hyperlipidemia"
"APOB","Hyperlipoproteinemia"
"APOB","Ataxia with vitamin E deficiency"
"APOB","Behcet Syndrome"
"APOC1","Heart Failure"
"APOC1","Myocardial Failure"
"APOE","Dysbetalipoproteinemia"
"APOE","Apolipoprotein E, Deficiency or Defect of"
"APOE","Hyperlipemia"
"APOE","Hyperlipoproteinemia"
"APOE","Obesity"
"APOE","Seizures"
"APOE","Hypertensive disease"
"APOE","Senile Dementia"
"APOE","Moyamoya disease"
"APOE","Carotid Artery Diseases"
"APOE","Lung Cancer"
"APOE","Atherosclerosis"
"APOE","Wilson Disease"
"APOE","Psoriasis"
"APOE","Delirium"
"APOE","Acute Coronary Syndrome"
"APOE","Alzheimer Disease"
"APOE","Hyperlipidemia"
"APOE","Hypercholesterolemia"
"APOE","Ischemic Cardiomyopathy"
"APOE","Myocardial Infarction"
"APOE","Adenocarcinoma"
"APOE","Jacksonian Seizure"
"APOE","Cribriform Carcinoma"
"APOE","Betalipoproteinemia"
"APOE","Arteriosclerosis"
"APOE","Liver Diseases"
"APOE","Kidney Insufficiency"
"APOE","Vitiligo"
"APOE","Schizophrenia"
"APOE","Cerebral Amyloid Angiopathy"
"APOE","Geographic Atrophy"
"APOE","Macular Degeneration"
"APOE","Hepatitis"
"APOE","Lewy Body Disease"
"APOE","Glomerulopathy"
"APOE","Dyslipidemias"
"APOE","Bipolar Disorder"
"APOE","Amyloidosis"
"APOE","Multiple Sclerosis"
"APOE","Atonic seizures"
"APOE","Carotid Atherosclerosis"
"APOE","Cognition Disorders"
"APOE","Coronary heart disease"
"APOE","Carcinoma"
"APOE","Pustulosis"
"APOE","Sea-Blue Histiocyte Syndrome"
"APOE","Kidney Failure"
"APPL1","MODY"
"AQP9","Myeloid Leukemia"
"AQP9","Leukemia"
"AQP9","Juvenile arthritis"
"AQP9","Still Disease"
"AQP9","Arsenic Encephalopathy"
"AR","Prostate cancer"
"AR","Reifenstein Syndrome"
"AR","Leukemia"
"AR","Male Pseudohermaphroditism"
"AR","Androgen-Insensitivity Syndrome"
"AR","Alopecia"
"AR","Prostatic Intraepithelial Neoplasias"
"AR","Astrocytoma"
"AR","Kennedy disease"
"AR","Grade I Astrocytoma"
"AR","Meniere Disease"
"AR","Mental Depression"
"AR","Childhood Cerebral Astrocytoma"
"AR","Male infertility"
"AR","Schizophrenia"
"AR","Androgen Receptor Deficiency"
"AR","Breast Cancer,Male"
"AR","Liver Cancer"
"AR","Hypertensive disease"
"AR","Cerebral Astrocytoma"
"AR","Subfertility, Female"
"AR","Breast Cancer"
"AR","Intracranial Astrocytoma"
"AR","Hypospadias"
"AR","Testicular Feminization"
"AR","Mood Disorders"
"AR","Coronary heart disease"
"AR","Autistic Disorder"
"AR","Oligoastrocytoma"
"ARHGAP4","Schizophrenia"
"ARHGAP4","HIV Coinfection"
"ARHGAP4","HIV Infections"
"ARHGAP4","Lupus Erythematosus"
"ARHGAP9","Coronary Artery Vasospasm"
"ARID4B","Adenoid Cystic Carcinoma"
"ARNTL","Mood Disorders"
"ARNTL","Myocardial Ischemia"
"ARNTL","Subfertility, Female"
"ARNTL","Bipolar Disorder"
"ARNTL","Mental Depression"
"ARNTL","Myocardial Infarction"
"ARNTL","Multiple congenital anomalies"
"ARNTL","Arteriosclerosis"
"ARNTL","Ischemic Cardiomyopathy"
"ARNTL","Myeloid Leukemia"
"ARNTL","Seasonal Affective Disorder"
"ATF4","Schizophrenia"
"ATF4","Fatty Liver"
"ATF4","Breast Cancer"
"ATF4","Mental Depression"
"ATF4","Bipolar Disorder"
"ATP5F1B","Kidney Failure"
"ATP5F1B","Spinocerebellar ataxia"
"ATP5F1B","Kidney Insufficiency"
"BAX","Esophagus Neoplasm"
"BAX","Kidney Insufficiency"
"BAX","Colonic Neoplasms"
"BAX","Myocardial Infarction"
"BAX","Lymphoma"
"BAX","Intestinal Cancer"
"BAX","HIV Infections"
"BAX","Breast Cancer"
"BAX","Liver Diseases"
"BAX","Alzheimer Disease"
"BAX","Ovarian Cancer"
"BAX","HIV Coinfection"
"BAX","Hepatitis"
"BAX","Senile Dementia"
"BAX","Male infertility"
"BAX","Kidney Failure"
"BAX","Prostate cancer"
"BDNF","Seizures"
"BDNF","Status Epilepticus"
"BDNF","Mental Depression"
"BDNF","Autistic Disorder"
"BDNF","Intellectual Disability"
"BDNF","Bipolar Disorder"
"BDNF","Mood Disorders"
"BDNF","Gastric Cancer"
"BDNF","Melancholia"
"BDNF","Schizophrenia"
"BDNF","Epilepsy"
"BDNF","Psychosis"
"BDNF","Obesity"
"BDNF","Cerebral Ischemia"
"BDNF","Manic Disorder"
"BDNF","Petit mal status"
"BDNF","Atonic seizures"
"BDNF","Alzheimer Disease"
"BDNF","Jacksonian Seizure"
"BDNF","Congenital central hypoventilation"
"BDNF","Senile Dementia"
"BDNF","Deafness"
"BDNF","Schizophreniform Disorders"
"BDNF","Parkinson Disease"
"BDNF","Haddad syndrome"
"BDNF","Stomach Cancer"
"BDNF","Schizoaffective Disorder"
"BGLAP","Asthma"
"BGLAP","Tumoral calcinosis"
"BGLAP","Prostate cancer"
"BGLAP","Heart Diseases"
"BGN","Marfan Syndrome"
"BGN","Rheumatoid Arthritis"
"BGN","Meester-Loeys Syndrome"
"BGN","Aortic aneurysm"
"BGN","Ehlers-Danlos Syndrome"
"BGN","Skeletal Dysplasia"
"BMP15","Ovarian Dysgenesis"
"BMP15","Ovarian Failure"
"BMP15","Ovarian Cancer"
"BMP15","Intellectual Disability"
"BRCA1","Hereditary Breast and Ovarian Cancer Syndrome"
"BRCA1","Breast Cancer"
"BRCA1","Heriditary Neoplastic Syndrome"
"BRCA1","Adenoid Cystic Carcinoma"
"BRCA1","Ovarian Cancer"
"BRCA1","Breast Cancer,Male"
"BRCA1","Pancreatic Neoplasm"
"BRCA1","Fanconi Anemia"
"BRCA1","Rhabdomyoma"
"BRCA1","Prostate cancer"
"BRCA1","Mental Depression"
"BRCA1","Disease of mouth"
"BRCA1","Carcinoma"
"BRCA1","Anemia"
"BRCA1","Keratoderma"
"BRCA1","Hematologic Neoplasms"
"BRCA1","Dysgerminoma"
"BRCA1","Anaplastic Carcinoma"
"BRCA1","Schizophrenia"
"C3","Purpura"
"C3","Complement Component 3 Deficiency, Autosomal Recessive"
"C3","Cerebral Artery Infarction"
"C3","Macular Degeneration"
"C3","Glomerulonephritis"
"C3","Geographic Atrophy"
"C3","Cerebral Thrombosis"
"C3","Atypical Hemolytic Uremic Syndrome"
"C3","Transient Ischemic Attack"
"C3","Brain Ischemia"
"C3","Middle Cerebral Artery Syndrome"
"C3","Pemphigus"
"C3","Kidney Failure"
"C3","Hepatitis"
"C3","Antibody Deficiency Syndrome"
"C3","Vasculitis"
"C3","Brain Infarction"
"C3","Diabetes Mellitus "
"C3","Liver Diseases"
"C3","Cerebral Ischemia"
"C3","Kidney Insufficiency"
"C3","Immunologic Deficiency Syndromes"
"C4A","Immunologic Deficiency Syndromes"
"C4A","Antibody Deficiency Syndrome"
"C9","C9 Deficiency"
"C9","Dermatomyositis"
"C9","Immunologic Deficiency Syndromes"
"C9","Lung Cancer"
"C9","Macular Degeneration"
"C9","Antibody Deficiency Syndrome"
"C9","Nodular Elastoidosis"
"C9","Meningococcal meningitis"
"C9","Liver Cancer"
"C9","Favre-Racouchot Syndrome"
"C9","Dermatitis"
"C9","Geographic Atrophy"
"AOPEP","Juvenile arthritis"
"AOPEP","Atrial Fibrillation"
"AOPEP","Still Disease"
"CALCA","Bipolar Disorder"
"CALCA","Catalepsy"
"CALCA","Intellectual Disability"
"CALCA","Sciatic Neuritis"
"CALCA","Hypercalcemia"
"CALCA","Pulmonary Fibrosis"
"CALCA","Neuralgia"
"CALCA","Migraine"
"CALCA","Down Syndrome"
"CALCA","Arthritis"
"CALCA","Hypertensive disease"
"CALCA","Osteoarthrosis Deformans"
"CALCA","Bronchial hyperreactivity"
"CALCA","Prostate cancer"
"CALCA","Autistic Disorder"
"CALCA","Trigeminal neuralgia"
"CALCA","Sick Headaches"
"CALCA","Milk-Alkali Syndrome"
"CALCA","Neuropathy"
"CALR","Colorectal Cancer"
"CALR","Anemia"
"CALR","Schizophrenia"
"CALR","Shared Paranoid Disorder"
"CALR","Non-organic psychosis"
"CALR","Esophagus Neoplasm"
"CALR","Psychosis"
"CALR","Prostate cancer"
"CALR","Myocardial Ischemia"
"CALR","Schizoaffective Disorder"
"CALR","Bipolar Disorder"
"CAPG","Renal Cancer"
"CAPG","Leukemia"
"CAPG","Lung Cancer"
"CAPG","Myeloid Leukemia"
"CAPN10","Intellectual Disability"
"CAPN10","Diabetes Mellitus "
"CAPZA1","Hypertensive disease"
"CAPZA1","Esophagus Neoplasm"
"CASP9","Cerebral Ischemia"
"CASP9","Transient Ischemic Attack"
"CASP9","Retinal Detachment"
"CASP9","Brain Ischemia"
"CASP9","Neuropathy"
"CASP9","Retinal Pigment Epithelial Detachment"
"CASP9","Prostate cancer"
"CASP9","Pancreatitis"
"CASR","Hypocalciuric hypercalcemia"
"CASR","Hypercalcemia"
"CASR","Hypocalcemia"
"CASR","Hyperparathyroidism"
"CASR","Cardiomyopathy"
"CASR","Hypoparathyroidism"
"CASR","Intellectual Disability"
"CASR","Genetic Diseases"
"CASR","Parathyroid Cancer"
"CASR","Kidney Calculi"
"CASR","Milk-Alkali Syndrome"
"CCK","Catalepsy"
"CCK","Manic Disorder"
"CCK","Schizophrenia"
"CCK","Seizures"
"CCK","Dyskinesia"
"CCK","Gastric ulcer"
"CCK","Cholera Infantum"
"CCK","Atonic seizures"
"CCK","Liver Diseases"
"CCK","Pancreatitis"
"CCK","Gastrointestinal Diseases"
"CCK","Jacksonian Seizure"
"CCL2","Endometrial Cancer"
"CCL2","Pulmonary Fibrosis"
"CCL2","Nephritis, Interstitial"
"CCL2","Cerebral Thrombosis"
"CCL2","Silicosis"
"CCL2","Status Epilepticus"
"CCL2","Thyroid Diseases"
"CCL2","Middle Cerebral Artery Syndrome"
"CCL2","Tumoral calcinosis"
"CCL2","Cerebral Ischemia"
"CCL2","Arteriosclerosis"
"CCL2","Asthma"
"CCL2","Liver Fibrosis"
"CCL2","Autoimmune Hepatitis"
"CCL2","Diabetic Nephropathy"
"CCL2","Cerebral Artery Infarction"
"CCL2","Meniere Disease"
"CCL2","Crohn Disease"
"CCL2","Heart Diseases"
"CCL2","Muscular Dystrophy"
"CCL2","Moyamoya disease"
"CCL2","Thyroid Cancer"
"CCL2","Metabolic Syndrome X"
"CCL2","Pneumonia"
"CCL2","Atherosclerosis"
"CCL2","Status Dysraphicus"
"CCL2","Colitis"
"CCL2","Brain Infarction"
"CCL2","Pulmonary Tuberculosis"
"CCL2","Compression of spinal cord"
"CCL2","Mouth Neoplasms"
"CCL2","Carotid Atherosclerosis"
"CCL2","Kidney Failure"
"CCL2","Nephritis"
"CCL2","Carotid Artery Diseases"
"CCL2","Glomerulosclerosis"
"CCL2","Carcinoma"
"CCL2","Respiratory Distress Syndrome"
"CCL2","Hepatitis"
"CCL2","Manic Disorder"
"CCL2","Bipolar Disorder"
"CCL2","Chronic Lung Injury"
"CCL2","Hyperoxaluria"
"CCL2","Spina Bifida"
"CCL2","Multiple Myeloma"
"CCL2","Myocardial Ischemia"
"CCL2","Hypertensive disease"
"CCL2","Pleural Diseases"
"CCL2","Schizophrenia"
"CCL2","Leishmaniasis"
"CCL2","Glomerulonephritis"
"CCL2","Enteritis"
"CCL2","Liver Diseases"
"CCL2","Oxalosis"
"CCL2","Mental Depression"
"CCL2","Petit mal status"
"CCL2","Bronchial hyperreactivity"
"CCL2","Liver Cirrhosis"
"CCL2","Influenza"
"CD163","Carotid Artery Diseases"
"CD163","Schizophrenia"
"CD163","Moyamoya disease"
"CD163","Carotid Atherosclerosis"
"CD163","Glomerulonephritis"
"CD28","Rheumatoid Arthritis"
"CD28","Lymphoma"
"CD28","Leukemia"
"CD28","HIV Infections"
"CD28","Colitis"
"CD28","Beryllium Disease"
"CD28","Autoimmune Diseases"
"CD28","HIV Coinfection"
"CD28","Inflammatory Bowel Diseases"
"CD28","Chloracne"
